CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,RAD_1,RAD_2,RAD_3,RAD_4,RAD_5,RAD_6,RAD_7,RAD_8,RAD_24,MEDV,log_MEDV
-0.419781938646,0.285653697324,-1.28790949896,-0.27259856707,-0.144217432555,0.413671889302,-0.120013416198,0.140213603493,-0.666608209021,-1.35319222446,0.441051932607,-1.07556230457,1,0,0,0,0,0,0,0,0,0.159685658715,0.345176009661
-0.417339264494,-0.487291601317,-0.5933810131,-0.27259856707,-0.7402622069,0.194274453182,0.367166418532,0.557159875088,-0.987329484963,-0.475352140387,0.441051932607,-0.492439365735,0,1,0,0,0,0,0,0,0,-0.10152428733,0.0841042634697
-0.417341591958,-0.487291601317,-0.5933810131,-0.27259856707,-0.7402622069,1.28271368173,-0.265811760898,0.557159875088,-0.987329484963,-0.475352140387,0.39642699409,-1.20872739877,0,1,0,0,0,0,0,0,0,1.32424666816,1.26677575476
-0.416750415937,-0.487291601317,-1.30687771391,-0.27259856707,-0.835283837593,1.01630250929,-0.809888510633,1.07773661893,-1.10611514272,-0.0364320983508,0.416162839135,-1.36151682265,0,0,1,0,0,0,0,0,0,1.18275794739,1.17082193074
-0.412481845764,-0.487291601317,-1.30687771391,-0.27259856707,-0.835283837593,1.22857665203,-0.511179706857,1.07773661893,-1.10611514272,-0.0364320983508,0.441051932607,-1.02650148039,0,0,1,0,0,0,0,0,0,1.48750288444,1.37324206199
-0.417043676483,-0.487291601317,-1.30687771391,-0.27259856707,-0.835283837593,0.207096381267,-0.351157133406,1.07773661893,-1.10611514272,-0.0364320983508,0.410571016372,-1.04332233439,0,0,1,0,0,0,0,0,0,0.671221803053,0.790801366335
-0.410242824769,0.0280052644435,-0.476653536486,-0.27259856707,-0.265154053437,-0.388410945345,-0.0702286155687,0.839243922021,-0.577518965704,-1.35319222446,0.426798266742,-0.0312676184374,0,0,0,0,1,0,0,0,0,0.0399644334446,0.22877834827
-0.403695666702,0.0280052644435,-0.476653536486,-0.27259856707,-0.265154053437,-0.160465557168,0.978808254835,1.02463788613,-0.577518965704,-1.35319222446,0.441051932607,0.910700205831,0,0,0,0,1,0,0,0,0,0.497081839023,0.647552804857
-0.39593473582,0.0280052644435,-0.476653536486,-0.27259856707,-0.265154053437,-0.931205900941,1.11749448516,1.08719646479,-0.577518965704,-1.35319222446,0.328447972271,2.42177359059,0,0,0,0,1,0,0,0,0,-0.656595422675,-0.577458648885
-0.400729313003,0.0280052644435,-0.476653536486,-0.27259856707,-0.265154053437,-0.399808214754,0.616090421678,1.32963472555,-0.577518965704,-1.35319222446,0.32932512094,0.623343949915,0,0,0,0,1,0,0,0,0,-0.39538547663,-0.245010440676
